,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog
Mason Greenwood,16.0,3.0,1.0,117.0,0.0,0.0,0.0,7.0,0.0,83.6,4.0
Tahith Chong,18.0,2.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,86.7,2.0
Angel Gomes,17.0,2.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,87.0,1.0
James Garner,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ederson,24.0,38.0,38.0,3420.0,0.0,1.0,2.0,0.0,0.0,85.7,3.0
Aymeric Laporte,24.0,35.0,34.0,3057.0,3.0,3.0,3.0,27.0,0.0,92.2,251.0
Bernardo Silva,23.0,36.0,31.0,2854.0,7.0,7.0,3.0,64.0,0.0,84.1,168.0
Raheem Sterling,23.0,34.0,31.0,2771.0,17.0,9.0,3.0,76.0,1.0,82.2,100.0
Sergio Agüero,30.0,33.0,31.0,2459.0,21.0,8.0,4.0,118.0,3.0,84.7,68.0
Kyle Walker,28.0,33.0,30.0,2779.0,1.0,1.0,3.0,20.0,1.0,88.0,189.0
David Silva,32.0,33.0,28.0,2401.0,6.0,8.0,2.0,50.0,4.0,85.6,204.0
Fernandinho,33.0,29.0,27.0,2377.0,1.0,3.0,5.0,31.0,0.0,87.2,218.0
İlkay Gündoğan,27.0,31.0,23.0,2137.0,6.0,3.0,3.0,43.0,2.0,87.7,201.0
Leroy Sané,22.0,31.0,21.0,1867.0,10.0,10.0,1.0,56.0,5.0,78.6,93.0
John Stones,24.0,24.0,20.0,1764.0,0.0,0.0,1.0,5.0,0.0,94.5,86.0
Riyad Mahrez,27.0,27.0,14.0,1343.0,7.0,4.0,0.0,54.0,1.0,81.1,98.0
Nicolás Otamendi,30.0,18.0,14.0,1236.0,0.0,0.0,1.0,14.0,0.0,93.0,54.0
Oleksandr Zinchenko,21.0,14.0,14.0,1151.0,0.0,3.0,1.0,7.0,0.0,90.3,117.0
Vincent Kompany,32.0,17.0,13.0,1224.0,1.0,0.0,6.0,3.0,0.0,93.0,68.0
Kevin De Bruyne,27.0,19.0,11.0,975.0,2.0,2.0,2.0,31.0,3.0,76.3,110.0
Benjamin Mendy,24.0,10.0,10.0,900.0,0.0,5.0,1.0,7.0,0.0,84.5,113.0
Danilo,27.0,11.0,9.0,807.0,1.0,0.0,1.0,14.0,0.0,88.1,66.0
Gabriel Jesus,21.0,29.0,8.0,1036.0,7.0,3.0,1.0,42.0,0.0,82.7,21.0
Fabian Delph,28.0,11.0,8.0,725.0,0.0,1.0,1.0,4.0,0.0,91.3,63.0
Phil Foden,18.0,13.0,3.0,335.0,1.0,0.0,0.0,14.0,0.0,86.0,19.0
Alisson,25.0,38.0,38.0,3420.0,0.0,0.0,1.0,0.0,0.0,82.3,0.0
Virgil van Dijk,27.0,38.0,38.0,3384.0,4.0,2.0,1.0,32.0,1.0,90.4,157.0
Mohamed Salah,26.0,38.0,37.0,3250.0,22.0,8.0,1.0,135.0,3.0,75.1,158.0
Andrew Robertson,24.0,36.0,36.0,3216.0,0.0,11.0,4.0,14.0,0.0,81.6,321.0
Sadio Mané,26.0,36.0,35.0,3077.0,22.0,1.0,2.0,88.0,0.0,76.7,111.0
Georginio Wijnaldum,27.0,35.0,32.0,2725.0,3.0,0.0,3.0,30.0,0.0,91.1,131.0
Roberto Firmino,26.0,34.0,31.0,2607.0,12.0,6.0,0.0,73.0,0.0,81.0,158.0
Trent Alexander-Arnold,19.0,29.0,27.0,2462.0,1.0,12.0,3.0,29.0,9.0,74.3,322.0
Fabinho,24.0,28.0,21.0,2017.0,1.0,2.0,6.0,17.0,0.0,86.0,135.0
Jordan Henderson,28.0,32.0,21.0,1987.0,1.0,3.0,2.0,16.0,0.0,86.2,148.0
James Milner,32.0,31.0,19.0,1789.0,5.0,4.0,6.0,21.0,1.0,80.5,207.0
Joël Matip,26.0,22.0,17.0,1537.0,1.0,0.0,3.0,8.0,0.0,87.7,60.0
Naby Keïta,23.0,25.0,16.0,1390.0,2.0,1.0,0.0,28.0,0.0,88.6,114.0
Joe Gomez,21.0,16.0,12.0,1063.0,0.0,0.0,2.0,4.0,0.0,85.1,42.0
Xherdan Shaqiri,26.0,24.0,11.0,1064.0,6.0,3.0,2.0,26.0,5.0,78.4,80.0
Dejan Lovren,29.0,13.0,11.0,986.0,1.0,0.0,1.0,6.0,0.0,88.5,29.0
Adam Lallana,30.0,13.0,5.0,468.0,0.0,0.0,1.0,5.0,0.0,83.2,35.0
Daniel Sturridge,28.0,18.0,4.0,509.0,2.0,1.0,1.0,18.0,0.0,78.7,31.0
