,Age,MP,Starts,Min,Gls,Ast,CrdY,Shot,FK,TotPassCmpPerc,Prog,Att 3rd,DribSucc,DribPl,Rec
Ben Johnson,18.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,86.4,0.0,4.0,0.0,1.0,15.0
Xande Silva,21.0,1.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,60.0,0.0,5.0,0.0,0.0,6.0
Ben Foster,35.0,38.0,38.0,3420.0,0.0,0.0,1.0,1.0,0.0,48.3,2.0,1.0,0.0,0.0,429.0
Craig Cathcart,29.0,36.0,35.0,3096.0,3.0,0.0,2.0,16.0,0.0,81.8,64.0,58.0,3.0,3.0,874.0
Abdoulaye Doucouré,25.0,35.0,34.0,3062.0,5.0,6.0,7.0,52.0,0.0,83.4,165.0,565.0,41.0,44.0,1578.0
Étienne Capoue,30.0,33.0,33.0,2944.0,1.0,3.0,14.0,17.0,5.0,83.4,164.0,244.0,32.0,32.0,1285.0
Roberto Pereyra,27.0,33.0,33.0,2815.0,6.0,1.0,3.0,56.0,6.0,81.5,125.0,760.0,46.0,54.0,1109.0
Will Hughes,23.0,32.0,31.0,2418.0,2.0,4.0,5.0,31.0,0.0,76.8,108.0,573.0,21.0,23.0,921.0
Troy Deeney,30.0,32.0,28.0,2545.0,9.0,5.0,4.0,61.0,0.0,62.4,109.0,560.0,6.0,10.0,856.0
José Holebas,34.0,28.0,27.0,2393.0,3.0,6.0,12.0,17.0,4.0,61.6,175.0,562.0,23.0,25.0,618.0
Gerard Deulofeu,24.0,30.0,26.0,2066.0,10.0,5.0,3.0,62.0,6.0,73.0,85.0,668.0,44.0,46.0,802.0
Kiko Femenía,27.0,29.0,22.0,2049.0,1.0,1.0,1.0,7.0,0.0,80.9,131.0,414.0,16.0,17.0,793.0
Adrian Mariappa,31.0,26.0,20.0,1927.0,0.0,0.0,3.0,5.0,0.0,83.7,44.0,26.0,1.0,2.0,672.0
Christian Kabasele,27.0,21.0,19.0,1586.0,0.0,0.0,4.0,8.0,0.0,73.0,33.0,24.0,0.0,0.0,398.0
Daryl Janmaat,29.0,18.0,17.0,1520.0,0.0,2.0,3.0,11.0,0.0,70.8,105.0,252.0,12.0,13.0,484.0
Andre Gray,27.0,29.0,13.0,1366.0,7.0,2.0,2.0,37.0,0.0,67.1,12.0,256.0,12.0,13.0,325.0
Adam Masina,24.0,14.0,11.0,1004.0,0.0,1.0,5.0,3.0,0.0,77.2,67.0,148.0,6.0,6.0,330.0
Isaac Success,22.0,30.0,9.0,1052.0,1.0,1.0,4.0,28.0,0.0,71.0,35.0,304.0,16.0,18.0,442.0
Ken Sema,24.0,17.0,9.0,754.0,1.0,2.0,1.0,10.0,0.0,71.3,20.0,176.0,22.0,22.0,266.0
Tom Cleverley,28.0,13.0,4.0,478.0,1.0,0.0,2.0,3.0,1.0,76.4,18.0,66.0,1.0,1.0,169.0
Domingos Quina,18.0,8.0,3.0,338.0,1.0,0.0,0.0,5.0,0.0,85.3,19.0,64.0,8.0,9.0,202.0
Nathaniel Chalobah,23.0,9.0,3.0,270.0,0.0,0.0,2.0,2.0,0.0,76.9,11.0,36.0,1.0,1.0,88.0
Miguel Britos,33.0,3.0,2.0,185.0,0.0,0.0,0.0,0.0,0.0,85.7,5.0,3.0,0.0,0.0,36.0
Marc Navarro,23.0,2.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,64.7,2.0,10.0,1.0,1.0,19.0
Ben Wilmot,18.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,1.0,0.0,0.0,6.0
Stefano Okaka,28.0,2.0,0.0,24.0,0.0,0.0,1.0,2.0,0.0,69.2,1.0,15.0,1.0,1.0,13.0
Sebastian Prödl,31.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0
Luka Milivojević,27.0,38.0,38.0,3420.0,12.0,2.0,10.0,47.0,16.0,76.1,248.0,545.0,18.0,20.0,1486.0
Patrick van Aanholt,27.0,36.0,36.0,3195.0,3.0,2.0,3.0,44.0,0.0,80.9,292.0,682.0,27.0,28.0,1351.0
James McArthur,30.0,38.0,36.0,3058.0,3.0,6.0,7.0,34.0,0.0,79.2,101.0,472.0,29.0,30.0,1141.0
Aaron Wan-Bissaka,20.0,35.0,35.0,3134.0,0.0,3.0,4.0,9.0,0.0,75.2,164.0,558.0,75.0,78.0,933.0
Wilfried Zaha,25.0,34.0,34.0,3036.0,10.0,5.0,9.0,79.0,0.0,76.7,147.0,945.0,143.0,155.0,1339.0
Andros Townsend,27.0,38.0,34.0,3009.0,6.0,4.0,1.0,62.0,0.0,72.4,134.0,909.0,75.0,79.0,1131.0
James Tomkins,29.0,29.0,29.0,2560.0,1.0,1.0,5.0,23.0,0.0,84.0,51.0,71.0,1.0,1.0,803.0
Mamadou Sakho,28.0,27.0,27.0,2416.0,0.0,0.0,2.0,5.0,0.0,88.3,100.0,27.0,11.0,11.0,929.0
Cheikhou Kouyaté,28.0,31.0,21.0,1899.0,0.0,2.0,3.0,21.0,0.0,80.1,70.0,242.0,19.0,20.0,601.0
Vicente Guaita,31.0,20.0,20.0,1754.0,0.0,0.0,2.0,0.0,0.0,50.2,0.0,0.0,0.0,0.0,178.0
Jeffrey Schlupp,25.0,30.0,18.0,1670.0,4.0,1.0,1.0,29.0,0.0,74.9,60.0,277.0,26.0,28.0,586.0
Wayne Hennessey,31.0,18.0,17.0,1576.0,0.0,0.0,0.0,0.0,0.0,53.1,1.0,0.0,0.0,0.0,170.0
Max Meyer,22.0,29.0,15.0,1416.0,1.0,2.0,3.0,35.0,0.0,81.2,56.0,362.0,19.0,19.0,644.0
Jordan Ayew,26.0,20.0,14.0,1181.0,1.0,2.0,3.0,26.0,0.0,73.6,16.0,237.0,24.0,25.0,330.0
Martin Kelly,28.0,13.0,12.0,1111.0,0.0,0.0,2.0,3.0,0.0,76.0,17.0,12.0,0.0,0.0,242.0
Christian Benteke,27.0,16.0,9.0,814.0,1.0,1.0,1.0,29.0,0.0,57.2,13.0,167.0,4.0,5.0,276.0
Michy Batshuayi,24.0,11.0,9.0,750.0,5.0,0.0,0.0,26.0,0.0,68.5,7.0,114.0,13.0,14.0,174.0
Scott Dann,31.0,10.0,7.0,663.0,0.0,1.0,1.0,6.0,0.0,78.2,17.0,13.0,4.0,4.0,160.0
Joel Ward,28.0,7.0,6.0,552.0,1.0,0.0,1.0,2.0,0.0,72.3,28.0,68.0,2.0,2.0,140.0
Julián Speroni,39.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,8.0
Alexander Sørloth,22.0,12.0,0.0,185.0,0.0,0.0,0.0,4.0,0.0,66.1,5.0,53.0,1.0,1.0,61.0
Connor Wickham,25.0,6.0,0.0,67.0,0.0,1.0,0.0,5.0,0.0,46.2,1.0,19.0,0.0,0.0,20.0
Bakary Sako,30.0,4.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,69.2,0.0,7.0,0.0,0.0,12.0
Jason Puncheon,32.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,5.0,0.0,0.0,8.0
Luke Dreher,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,3.0
Pape Souaré,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,3.0
