,index,Age,MP,Starts,CrdY,P90Gls,P90Ast,90s,Sh/90,SoT/90,TotPassCmp,KP,Prog,DribPl,Annual_Salary(GBP),Pos
245,leroy sane,22.0,31.0,21.0,1.0,0.48,0.48,20.7,2.7,1.16,750.0,36.0,93.0,65.0,4680000.0,F
246,lewis cook,21.0,13.0,8.0,2.0,0.0,0.0,8.0,0.37,0.0,328.0,2.0,40.0,9.0,1820000.0,M
247,lewis dunk,26.0,36.0,36.0,6.0,0.06,0.03,35.0,0.63,0.11,1240.0,9.0,50.0,1.0,2340000.0,D
248,lucas digne,25.0,35.0,33.0,5.0,0.12,0.12,32.9,1.03,0.3,1460.0,70.0,293.0,16.0,4680000.0,D
249,lucas moura,25.0,32.0,25.0,3.0,0.42,0.0,23.6,1.91,0.85,561.0,27.0,61.0,46.0,4160000.0,F
250,lucas perez,29.0,15.0,4.0,0.0,0.57,0.0,5.3,1.71,0.57,102.0,8.0,5.0,5.0,4160000.0,F
251,lucas torreira,22.0,34.0,24.0,7.0,0.08,0.08,26.5,0.91,0.23,1420.0,16.0,137.0,23.0,3900000.0,M
252,luka milivojevic,27.0,38.0,38.0,10.0,0.32,0.05,38.0,1.24,0.34,1629.0,59.0,248.0,20.0,2860000.0,M
253,lukasz fabianski,33.0,38.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0,651.0,3.0,0.0,1.0,3380000.0,G
254,luke amos,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NaN,M
255,luke dreher,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,NaN,M
256,luke shaw,23.0,29.0,29.0,11.0,0.03,0.14,28.8,0.69,0.21,1657.0,33.0,238.0,30.0,7800000.0,D
257,lys mousset,22.0,24.0,1.0,1.0,0.24,0.0,4.1,3.18,1.71,86.0,4.0,10.0,7.0,1040000.0,F
258,mamadou sakho,28.0,27.0,27.0,2.0,0.0,0.0,26.8,0.19,0.0,1135.0,7.0,100.0,11.0,5200000.0,D
259,manolo gabbiadini,26.0,12.0,4.0,0.0,0.19,0.0,5.3,3.97,1.51,83.0,4.0,5.0,5.0,4160000.0,F
260,manuel lanzini,25.0,10.0,8.0,2.0,0.13,0.13,7.6,1.44,0.52,408.0,6.0,42.0,14.0,3640000.0,M
261,marc albrighton,28.0,27.0,18.0,3.0,0.11,0.11,18.1,1.05,0.39,459.0,30.0,101.0,24.0,2340000.0,F
262,marc navarro,23.0,2.0,1.0,0.0,0.0,0.0,0.9,0.0,0.0,22.0,0.0,2.0,1.0,1196000.0,D
263,marcos alonso,27.0,31.0,31.0,6.0,0.07,0.13,30.7,1.4,0.23,1838.0,31.0,175.0,25.0,5200000.0,D
264,marcos rojo,28.0,5.0,2.0,2.0,0.0,0.0,2.4,2.55,1.27,99.0,0.0,9.0,1.0,4160000.0,D
265,marcus rashford,20.0,33.0,26.0,3.0,0.39,0.23,25.9,3.2,1.54,538.0,38.0,75.0,52.0,2340000.0,F
266,mario lemina,24.0,21.0,18.0,5.0,0.06,0.06,17.9,1.51,0.22,704.0,11.0,71.0,29.0,3380000.0,M
267,mark noble,31.0,31.0,29.0,6.0,0.2,0.2,25.5,0.51,0.2,1293.0,21.0,163.0,16.0,2600000.0,M
268,mark travers,19.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,43.0,0.0,1.0,0.0,NaN,G
269,marko arnautovic,29.0,28.0,24.0,3.0,0.45,0.18,22.1,2.8,1.36,496.0,33.0,46.0,29.0,5200000.0,F
270,marouane fellaini,30.0,14.0,6.0,1.0,0.0,0.12,8.4,0.96,0.36,347.0,3.0,31.0,5.0,5200000.0,M
271,martin dubravka,29.0,38.0,38.0,1.0,0.0,0.0,38.0,0.0,0.0,686.0,0.0,0.0,1.0,1976000.0,G
272,martin kelly,28.0,13.0,12.0,2.0,0.0,0.0,12.3,0.24,0.08,263.0,1.0,17.0,0.0,1300000.0,D
273,martin montoya,27.0,25.0,24.0,4.0,0.0,0.04,24.1,0.33,0.04,895.0,19.0,148.0,15.0,2600000.0,D
274,mason greenwood,16.0,3.0,1.0,0.0,0.0,0.0,1.3,5.38,3.08,51.0,3.0,4.0,3.0,NaN,F
275,mason holgate,21.0,5.0,4.0,1.0,0.0,0.0,4.5,0.0,0.0,192.0,0.0,26.0,2.0,1300000.0,D
276,matej vydra,26.0,13.0,3.0,1.0,0.28,0.28,3.5,1.7,0.85,46.0,1.0,4.0,3.0,1820000.0,F
277,mateo kovacic,24.0,32.0,21.0,3.0,0.0,0.1,19.3,1.5,0.16,1355.0,25.0,100.0,34.0,3900000.0,M
278,mathew ryan,26.0,34.0,34.0,2.0,0.0,0.0,34.0,0.0,0.0,551.0,0.0,0.0,0.0,1820000.0,G
279,matt doherty,26.0,38.0,35.0,5.0,0.11,0.14,34.9,1.23,0.49,1333.0,41.0,294.0,30.0,520000.0,D
280,matt ritchie,28.0,36.0,35.0,9.0,0.06,0.25,32.5,1.2,0.22,1036.0,53.0,216.0,17.0,2340000.0,D
281,matt targett,22.0,16.0,13.0,2.0,0.08,0.23,13.2,0.83,0.23,456.0,22.0,107.0,2.0,1820000.0,D
282,matteo darmian,28.0,6.0,5.0,0.0,0.0,0.0,4.9,0.2,0.2,176.0,2.0,17.0,2.0,2340000.0,D
283,matteo guendouzi,19.0,33.0,23.0,9.0,0.0,0.0,23.9,0.63,0.13,1412.0,19.0,146.0,33.0,2080000.0,M
