,index,MP,Starts,Min,Gls,Ast,ShotonTarget,TotPassCmp,Prog,Touches_Att3rd,DribSucc,DribPl,Rec,Annual_Salary(GBP)
46,asmir begovic,24.0,24.0,2160.0,0.0,0.0,0.0,431.0,1.0,2.0,0.0,0.0,208.0,3640000.0
47,aymeric laporte,35.0,34.0,3057.0,3.0,3.0,7.0,2793.0,251.0,208.0,2.0,3.0,2602.0,3380000.0
48,ayoze perez,37.0,34.0,2917.0,12.0,2.0,26.0,609.0,68.0,562.0,63.0,67.0,834.0,2340000.0
49,bakary sako,4.0,0.0,29.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,12.0,0.0
50,ben chilwell,36.0,36.0,3240.0,0.0,4.0,10.0,1575.0,211.0,969.0,37.0,44.0,1624.0,3380000.0
51,ben davies,27.0,20.0,1844.0,0.0,0.0,1.0,1071.0,145.0,400.0,4.0,5.0,946.0,3120000.0
52,ben foster,38.0,38.0,3420.0,0.0,0.0,0.0,600.0,2.0,1.0,0.0,0.0,429.0,1560000.0
53,ben gibson,1.0,1.0,62.0,1.0,0.0,1.0,21.0,2.0,2.0,1.0,1.0,21.0,2080000.0
54,ben johnson,1.0,1.0,62.0,0.0,0.0,0.0,19.0,0.0,4.0,0.0,1.0,15.0,0.0
55,ben mee,38.0,38.0,3420.0,0.0,2.0,6.0,1119.0,99.0,87.0,9.0,9.0,955.0,2860000.0
56,ben wilmot,2.0,0.0,28.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,6.0,260000.0
57,benjamin mendy,10.0,10.0,900.0,0.0,5.0,2.0,668.0,113.0,345.0,12.0,15.0,603.0,4680000.0
58,beram kayal,18.0,9.0,940.0,1.0,1.0,1.0,203.0,29.0,73.0,8.0,8.0,211.0,1300000.0
59,bernard,34.0,25.0,2116.0,1.0,3.0,5.0,633.0,91.0,557.0,45.0,48.0,821.0,0.0
60,bernardo,22.0,19.0,1752.0,0.0,1.0,3.0,735.0,131.0,278.0,15.0,16.0,593.0,0.0
61,bernardo silva,36.0,31.0,2854.0,7.0,7.0,22.0,1513.0,168.0,1141.0,50.0,55.0,1628.0,6240000.0
62,bernd leno,32.0,31.0,2836.0,0.0,0.0,0.0,779.0,2.0,0.0,0.0,0.0,521.0,5200000.0
63,bruno,14.0,14.0,1131.0,0.0,1.0,0.0,506.0,75.0,148.0,7.0,8.0,414.0,0.0
64,bukayo saka,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,caglar soyuncu,6.0,4.0,372.0,0.0,0.0,1.0,183.0,16.0,11.0,4.0,4.0,163.0,2340000.0
66,callum hudson-odoi,10.0,4.0,393.0,0.0,1.0,3.0,192.0,16.0,167.0,11.0,11.0,239.0,0.0
67,callum slattery,3.0,1.0,112.0,0.0,0.0,0.0,21.0,3.0,15.0,1.0,1.0,29.0,0.0
68,callum wilson,30.0,29.0,2528.0,14.0,9.0,27.0,319.0,45.0,419.0,22.0,27.0,580.0,2080000.0
69,carl jenkinson,3.0,2.0,166.0,0.0,0.0,0.0,72.0,4.0,39.0,0.0,0.0,67.0,2340000.0
70,carlos sanchez,7.0,2.0,245.0,0.0,0.0,0.0,124.0,10.0,18.0,6.0,6.0,105.0,2600000.0
71,cedric soares,18.0,16.0,1495.0,1.0,2.0,3.0,577.0,91.0,313.0,9.0,9.0,529.0,3380000.0
72,cenk tosun,25.0,10.0,1059.0,3.0,3.0,15.0,190.0,18.0,239.0,7.0,9.0,286.0,3120000.0
73,cesar azpilicueta,38.0,38.0,3402.0,1.0,5.0,7.0,2471.0,231.0,904.0,16.0,17.0,2144.0,4680000.0
74,cesc fabregas,6.0,1.0,180.0,0.0,0.0,0.0,165.0,19.0,47.0,0.0,0.0,177.0,8112000.0
75,charlie austin,25.0,11.0,983.0,2.0,2.0,8.0,127.0,9.0,175.0,5.0,8.0,243.0,3640000.0
76,charlie daniels,21.0,17.0,1585.0,1.0,0.0,3.0,785.0,112.0,336.0,13.0,16.0,678.0,1820000.0
77,charlie taylor,38.0,35.0,3243.0,0.0,1.0,0.0,1224.0,163.0,579.0,41.0,43.0,1008.0,1300000.0
78,cheikhou kouyate,31.0,21.0,1899.0,0.0,2.0,8.0,639.0,70.0,242.0,19.0,20.0,601.0,3380000.0
79,chris mepham,13.0,10.0,850.0,0.0,1.0,0.0,324.0,22.0,12.0,4.0,5.0,290.0,607000.0
80,chris smalling,24.0,24.0,2127.0,1.0,0.0,4.0,800.0,38.0,42.0,1.0,1.0,668.0,4160000.0
81,chris wood,38.0,29.0,2588.0,10.0,2.0,23.0,406.0,26.0,487.0,14.0,15.0,725.0,2600000.0
82,christian atsu,28.0,15.0,1493.0,1.0,0.0,14.0,335.0,31.0,318.0,31.0,33.0,448.0,1560000.0
83,christian benteke,16.0,9.0,814.0,1.0,1.0,8.0,139.0,13.0,167.0,4.0,5.0,276.0,6240000.0
84,christian eriksen,35.0,30.0,2774.0,8.0,12.0,31.0,1540.0,228.0,931.0,21.0,23.0,1692.0,3900000.0
85,christian fuchs,3.0,2.0,207.0,0.0,0.0,0.0,121.0,30.0,72.0,1.0,1.0,107.0,2600000.0
86,christian kabasele,21.0,19.0,1586.0,0.0,0.0,2.0,429.0,33.0,24.0,0.0,0.0,398.0,1560000.0
87,ciaran clark,11.0,9.0,858.0,3.0,0.0,3.0,225.0,19.0,29.0,0.0,0.0,193.0,1820000.0
88,connor wickham,6.0,0.0,67.0,0.0,1.0,1.0,6.0,1.0,19.0,0.0,0.0,20.0,3120000.0
89,conor coady,38.0,38.0,3420.0,0.0,0.0,0.0,1412.0,61.0,8.0,1.0,2.0,1267.0,780000.0
90,craig cathcart,36.0,35.0,3096.0,3.0,0.0,6.0,1046.0,64.0,58.0,3.0,3.0,874.0,1200000.0
91,dale stephens,30.0,29.0,2485.0,1.0,1.0,2.0,1145.0,126.0,193.0,11.0,11.0,1010.0,1560000.0
92,dan gosling,25.0,19.0,1739.0,2.0,1.0,7.0,755.0,100.0,204.0,8.0,8.0,751.0,1820000.0
93,daniel amartey,9.0,7.0,641.0,0.0,0.0,1.0,354.0,42.0,62.0,1.0,2.0,274.0,1092000.0
94,daniel sturridge,18.0,4.0,509.0,2.0,1.0,6.0,148.0,31.0,130.0,5.0,5.0,211.0,6760000.0
95,danilo,11.0,9.0,807.0,1.0,0.0,3.0,767.0,66.0,315.0,6.0,6.0,677.0,0.0
96,danny ings,24.0,23.0,1651.0,7.0,3.0,19.0,287.0,42.0,325.0,34.0,37.0,463.0,3900000.0
